start...
Epoch: 1 / 50000, Score: -500,  block: 23,  Reward: -137.7234 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 50000, Score: -500,  block: 21,  Reward: -140.5621 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 50000, Score: -500,  block: 21,  Reward: -127.2913 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 50000, Score: -500,  block: 23,  Reward: -155.2344 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 50000, Score: -500,  block: 15,  Reward: -58.2727 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 50000, Score: -500,  block: 22,  Reward: -92.1789 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 50000, Score: -500,  block: 25,  Reward: -120.6367 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 50000, Score: -500,  block: 16,  Reward: -111.3266 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 50000, Score: -500,  block: 20,  Reward: -152.5871 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 50000, Score: -500,  block: 25,  Reward: -154.4716 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 50000, Score: -500,  block: 24,  Reward: -187.5871 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 50000, Score: -500,  block: 19,  Reward: -67.2322 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 50000, Score: -500,  block: 24,  Reward: -200.6878 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 50000, Score: -500,  block: 18,  Reward: -95.9430 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 50000, Score: -500,  block: 30,  Reward: -241.1220 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 50000, Score: -500,  block: 22,  Reward: -224.9251 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 50000, Score: -500,  block: 26,  Reward: -132.7449 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 50000, Score: -500,  block: 25,  Reward: -176.1698 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 50000, Score: -500,  block: 27,  Reward: -209.2864 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 50000, Score: -500,  block: 26,  Reward: -144.3968 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 50000, Score: -500,  block: 27,  Reward: -143.2424 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 50000, Score: -500,  block: 25,  Reward: -209.5165 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 50000, Score: -400,  block: 28,  Reward: -194.1633 Cleared lines: 1, col: 1/0/0/0 
Epoch: 24 / 50000, Score: -500,  block: 24,  Reward: -145.1327 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 50000, Score: -500,  block: 15,  Reward: -107.2251 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 50000, Score: -500,  block: 21,  Reward: -133.0159 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 50000, Score: -500,  block: 19,  Reward: -91.3925 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 50000, Score: -500,  block: 18,  Reward: -134.6057 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 50000, Score: -500,  block: 24,  Reward: -159.3302 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 50000, Score: -500,  block: 24,  Reward: -163.0136 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 50000, Score: -500,  block: 22,  Reward: -107.9530 Cleared lines: 0, col: 0/0/0/0 
